@relation bank-weka.filters.supervised.instance.Resample-B0.0-S1-Z30.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z60.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement

@attribute age numeric
@attribute job {unemployed,services,management,blue-collar,self-employed,technician,entrepreneur,admin.,student,housemaid,retired,unknown}
@attribute marital {married,single,divorced}
@attribute education {primary,secondary,tertiary,unknown}
@attribute default {no,yes}
@attribute balance numeric
@attribute housing {no,yes}
@attribute loan {no,yes}
@attribute contact {cellular,unknown,telephone}
@attribute day numeric
@attribute month {oct,may,apr,jun,feb,aug,jan,jul,nov,sep,mar,dec}
@attribute duration numeric
@attribute campaign numeric
@attribute pdays numeric
@attribute previous numeric
@attribute y {no,yes}

@data
59,housemaid,married,tertiary,no,0,no,yes,cellular,29,jul,376,2,-1,0,no
58,management,married,tertiary,no,541,yes,no,cellular,8,may,98,1,-1,0,no
50,entrepreneur,married,secondary,no,1011,yes,no,telephone,30,jul,340,2,-1,0,no
44,management,married,secondary,no,2984,yes,no,unknown,15,may,770,2,-1,0,no
28,services,single,secondary,no,-427,yes,yes,unknown,21,may,965,2,-1,0,no
27,admin.,single,tertiary,no,3672,yes,no,cellular,15,may,157,2,351,5,no
46,admin.,married,secondary,no,0,yes,yes,cellular,20,apr,239,2,259,2,no
48,blue-collar,married,primary,no,574,no,no,cellular,5,aug,348,1,-1,0,no
59,admin.,divorced,secondary,no,975,yes,no,unknown,15,may,263,4,-1,0,no
31,unknown,divorced,tertiary,no,137,no,no,cellular,22,aug,385,9,-1,0,no
26,student,single,secondary,no,203,no,no,cellular,16,nov,104,1,196,1,no
42,management,divorced,tertiary,no,401,yes,no,cellular,24,jul,217,9,-1,0,no
25,student,single,tertiary,no,5,no,no,cellular,29,sep,138,1,-1,0,no
60,management,married,secondary,no,725,yes,no,cellular,8,jul,266,1,-1,0,no
30,student,single,tertiary,no,7513,no,no,cellular,11,aug,269,2,-1,0,no
56,entrepreneur,divorced,primary,no,29,no,no,cellular,29,jan,52,2,227,1,no
26,blue-collar,married,primary,no,5116,yes,no,cellular,22,jul,246,3,-1,0,no
40,technician,divorced,secondary,no,-375,yes,no,cellular,13,may,60,5,-1,0,no
59,retired,married,secondary,no,9976,yes,no,unknown,29,may,57,2,-1,0,no
35,blue-collar,married,secondary,no,1257,yes,no,cellular,20,apr,93,3,329,7,no
46,admin.,married,primary,no,96,no,no,telephone,4,feb,151,2,-1,0,no
34,blue-collar,married,secondary,no,250,yes,no,unknown,29,may,193,6,-1,0,no
34,management,married,tertiary,no,436,yes,no,cellular,17,apr,28,1,345,1,no
33,technician,single,secondary,no,647,yes,yes,cellular,4,feb,124,1,273,1,no
53,entrepreneur,married,secondary,no,-118,yes,no,unknown,9,may,101,3,-1,0,no
31,blue-collar,divorced,secondary,no,6,yes,no,cellular,29,jan,821,1,-1,0,no
31,services,single,secondary,no,481,yes,no,cellular,20,nov,106,2,183,2,no
28,admin.,married,secondary,no,12,yes,no,cellular,30,jan,73,3,256,3,no
47,blue-collar,married,secondary,no,0,yes,no,cellular,21,jul,676,1,-1,0,no
31,management,single,tertiary,no,1130,yes,no,cellular,17,apr,224,3,74,4,no
30,technician,single,tertiary,no,699,yes,no,cellular,11,aug,213,4,-1,0,no
48,blue-collar,married,secondary,no,865,yes,no,cellular,13,may,78,2,-1,0,no
57,management,married,tertiary,no,1341,yes,no,unknown,8,may,339,2,-1,0,no
33,services,married,secondary,no,210,yes,yes,unknown,20,may,201,1,-1,0,no
44,services,divorced,secondary,no,0,yes,yes,unknown,13,may,97,1,-1,0,no
39,unknown,single,secondary,no,914,no,no,unknown,5,jun,20,1,-1,0,no
42,self-employed,married,tertiary,no,753,no,no,unknown,17,jun,31,1,-1,0,no
40,self-employed,married,primary,no,92,yes,no,unknown,13,may,92,1,-1,0,no
43,blue-collar,married,primary,no,188,yes,no,cellular,12,may,58,3,347,5,no
31,blue-collar,single,tertiary,no,462,yes,yes,unknown,19,may,147,1,-1,0,no
37,admin.,married,tertiary,no,801,no,no,cellular,11,aug,331,7,-1,0,no
43,blue-collar,single,secondary,no,24,no,no,cellular,12,may,68,1,363,1,no
32,management,single,tertiary,no,751,yes,no,unknown,8,may,64,1,-1,0,no
47,blue-collar,married,secondary,no,5306,yes,no,unknown,15,may,322,1,-1,0,no
37,entrepreneur,married,tertiary,no,7944,no,no,cellular,21,nov,102,1,-1,0,no
48,blue-collar,married,secondary,no,1143,yes,no,cellular,17,apr,264,1,317,1,no
58,blue-collar,married,primary,no,0,yes,no,unknown,29,may,535,2,-1,0,no
39,services,divorced,secondary,no,282,yes,no,cellular,17,jul,243,1,-1,0,no
36,services,single,secondary,no,174,yes,no,unknown,7,may,223,2,-1,0,no
42,technician,divorced,secondary,no,1533,no,yes,cellular,5,aug,86,1,-1,0,no
26,student,single,secondary,no,-147,no,no,unknown,4,jun,95,2,-1,0,no
45,technician,married,tertiary,no,265,no,no,cellular,28,aug,14,3,-1,0,no
39,technician,married,unknown,no,839,no,no,unknown,30,may,825,2,-1,0,no
41,admin.,married,secondary,no,21515,yes,no,unknown,5,jun,87,1,-1,0,no
30,admin.,married,tertiary,no,0,yes,no,cellular,24,jul,209,2,-1,0,no
59,self-employed,married,tertiary,no,3800,no,yes,cellular,9,jul,70,1,-1,0,no
37,management,married,tertiary,no,547,yes,yes,unknown,21,may,143,1,-1,0,no
43,management,married,tertiary,no,3529,yes,no,cellular,4,aug,190,3,-1,0,no
36,unemployed,married,secondary,no,-35,no,no,cellular,30,jan,339,3,-1,0,no
65,retired,married,primary,no,493,no,no,cellular,16,oct,622,1,182,1,no
28,student,single,secondary,no,330,no,no,telephone,2,feb,197,1,-1,0,no
38,management,married,tertiary,no,12877,no,no,unknown,17,jun,118,3,-1,0,no
39,blue-collar,married,primary,no,1506,yes,no,cellular,11,may,299,2,-1,0,no
52,management,single,tertiary,no,4,no,yes,cellular,28,jul,30,9,-1,0,no
42,blue-collar,married,primary,no,-10,yes,no,unknown,9,may,291,4,-1,0,no
38,entrepreneur,divorced,tertiary,no,7929,no,no,cellular,8,jul,182,3,-1,0,no
40,blue-collar,married,secondary,no,4795,yes,no,cellular,17,apr,57,1,-1,0,no
57,retired,married,tertiary,no,31,no,no,cellular,19,aug,260,2,-1,0,no
41,retired,single,primary,no,0,no,no,cellular,8,may,239,1,368,2,no
45,management,married,tertiary,no,6945,no,no,cellular,5,aug,131,5,356,3,no
32,services,single,secondary,no,473,yes,no,cellular,7,jul,624,5,-1,0,no
49,blue-collar,married,secondary,no,322,no,no,cellular,14,aug,356,2,-1,0,no
44,entrepreneur,single,tertiary,no,1136,yes,yes,cellular,3,apr,345,2,249,7,no
40,technician,married,secondary,no,-396,yes,no,unknown,26,may,127,1,-1,0,no
33,technician,single,secondary,no,920,yes,no,cellular,21,nov,58,1,122,4,no
42,management,married,tertiary,no,603,yes,no,cellular,5,nov,298,5,-1,0,no
61,management,married,secondary,no,967,no,no,cellular,20,aug,180,1,-1,0,no
37,management,divorced,tertiary,no,896,no,yes,cellular,14,aug,343,2,-1,0,no
57,services,married,secondary,no,162,yes,no,unknown,5,may,174,1,-1,0,no
58,retired,married,secondary,no,3382,no,yes,cellular,28,may,294,2,309,2,no
33,blue-collar,single,secondary,no,1925,yes,no,cellular,2,mar,76,2,-1,0,no
26,admin.,single,secondary,no,3529,no,yes,cellular,7,sep,57,2,-1,0,no
30,self-employed,single,tertiary,no,901,yes,yes,unknown,16,may,601,1,-1,0,no
37,admin.,married,tertiary,no,0,yes,no,cellular,21,jul,115,1,-1,0,no
56,admin.,married,secondary,no,1504,yes,no,unknown,29,may,66,2,-1,0,no
26,housemaid,married,secondary,no,-759,yes,no,cellular,11,jul,191,1,-1,0,no
36,student,single,unknown,no,386,no,no,unknown,18,jun,359,2,-1,0,no
32,blue-collar,divorced,secondary,no,0,yes,no,unknown,2,jun,746,2,-1,0,no
32,admin.,married,secondary,no,0,yes,yes,cellular,17,nov,159,2,195,2,no
33,management,married,tertiary,no,296,no,no,cellular,16,jul,90,2,-1,0,no
30,management,married,tertiary,no,42,no,no,cellular,25,aug,115,6,-1,0,no
47,admin.,single,secondary,no,2540,no,no,cellular,18,nov,110,5,-1,0,no
46,housemaid,single,tertiary,no,3232,no,no,telephone,15,jun,94,2,-1,0,no
49,blue-collar,married,unknown,no,51,yes,no,unknown,7,may,984,1,-1,0,no
33,blue-collar,single,primary,no,1,yes,no,cellular,20,apr,257,1,-1,0,no
46,technician,single,secondary,no,834,yes,no,cellular,11,jul,196,2,-1,0,no
55,services,divorced,primary,no,653,no,no,unknown,6,jun,800,1,-1,0,no
37,management,single,tertiary,no,9,no,no,cellular,26,aug,484,2,-1,0,no
25,technician,married,tertiary,no,914,yes,no,cellular,12,may,185,2,-1,0,no
31,technician,married,secondary,no,0,yes,yes,cellular,28,jan,71,1,223,9,no
45,technician,married,secondary,no,-149,yes,no,cellular,14,jul,287,2,-1,0,no
25,technician,single,tertiary,no,468,yes,no,unknown,15,may,147,1,-1,0,no
59,retired,married,secondary,no,5706,yes,no,cellular,25,jul,471,2,-1,0,no
33,technician,married,secondary,no,1844,yes,no,unknown,29,may,241,3,-1,0,no
58,management,single,tertiary,no,331,no,yes,cellular,28,jul,82,3,-1,0,no
76,retired,married,primary,no,2590,no,no,telephone,9,feb,68,12,-1,0,no
41,unemployed,married,tertiary,no,1666,no,no,unknown,9,jun,291,3,-1,0,no
30,blue-collar,single,secondary,yes,447,no,no,unknown,14,may,103,6,-1,0,no
36,management,married,tertiary,no,0,yes,no,unknown,27,may,145,2,-1,0,no
44,management,married,tertiary,no,13893,no,no,unknown,11,jun,29,2,-1,0,no
45,housemaid,married,primary,no,4994,no,no,unknown,20,jun,48,1,-1,0,no
55,retired,married,secondary,no,2749,yes,yes,unknown,29,may,58,2,-1,0,no
51,self-employed,married,primary,no,307,yes,yes,unknown,17,jun,65,2,-1,0,no
40,entrepreneur,married,secondary,no,1416,yes,no,unknown,14,may,210,2,-1,0,no
34,admin.,married,secondary,no,645,yes,no,unknown,19,may,420,1,-1,0,no
34,unemployed,married,secondary,no,0,yes,no,cellular,13,may,172,1,-1,0,no
49,blue-collar,married,primary,no,937,yes,no,unknown,12,jun,66,1,-1,0,no
31,admin.,married,secondary,no,0,yes,yes,cellular,18,nov,79,3,-1,0,no
42,management,divorced,tertiary,no,221,yes,no,unknown,7,may,720,2,-1,0,no
59,admin.,divorced,secondary,no,174,yes,no,unknown,16,may,204,1,-1,0,no
34,technician,married,secondary,no,550,no,yes,cellular,9,jul,601,1,-1,0,no
55,services,divorced,tertiary,no,1983,yes,no,telephone,19,nov,123,1,-1,0,no
40,blue-collar,married,primary,no,3658,yes,no,unknown,14,may,977,1,-1,0,no
32,admin.,married,secondary,no,3540,yes,no,cellular,18,may,213,1,178,1,no
46,admin.,married,primary,no,276,yes,yes,unknown,6,may,157,2,-1,0,no
35,admin.,married,secondary,no,0,no,no,unknown,7,may,326,1,-1,0,no
50,blue-collar,married,secondary,no,2320,yes,no,cellular,7,apr,310,1,-1,0,no
31,unemployed,married,secondary,no,24,yes,no,cellular,19,nov,631,1,-1,0,no
47,management,single,tertiary,no,0,no,no,unknown,11,jun,58,3,-1,0,no
46,self-employed,married,secondary,no,390,yes,no,cellular,31,jul,208,2,-1,0,no
37,technician,divorced,secondary,no,23,no,no,cellular,20,aug,289,2,-1,0,no
36,management,single,tertiary,no,678,no,yes,unknown,4,jul,85,3,-1,0,no
38,management,single,tertiary,no,0,yes,no,cellular,17,nov,213,2,-1,0,no
52,admin.,married,secondary,no,395,yes,no,unknown,15,may,391,3,-1,0,no
32,admin.,married,secondary,no,76,yes,no,unknown,21,may,189,2,-1,0,no
56,blue-collar,married,primary,no,420,yes,no,unknown,9,may,76,1,-1,0,no
45,admin.,married,secondary,no,194,no,no,cellular,31,jul,517,4,-1,0,no
42,housemaid,married,primary,no,83,no,yes,cellular,7,aug,184,1,-1,0,no
50,entrepreneur,married,tertiary,no,433,yes,no,cellular,18,may,47,4,-1,0,no
48,blue-collar,married,secondary,no,425,yes,no,telephone,9,jul,693,2,-1,0,no
31,admin.,single,secondary,no,-407,no,yes,cellular,7,jul,230,1,-1,0,no
50,management,married,unknown,no,3304,no,no,unknown,5,jun,1009,2,-1,0,no
35,services,married,secondary,no,0,yes,no,cellular,18,may,146,2,-1,0,no
32,management,single,secondary,no,249,yes,no,unknown,2,jun,258,1,-1,0,no
36,management,single,secondary,no,0,no,no,cellular,13,aug,333,5,-1,0,no
42,blue-collar,married,secondary,no,179,yes,no,cellular,17,nov,96,1,-1,0,no
33,blue-collar,single,primary,no,92,yes,no,unknown,9,may,127,1,-1,0,no
34,technician,married,secondary,no,114,yes,yes,cellular,4,jun,153,1,309,3,no
31,admin.,single,secondary,no,757,no,no,cellular,3,feb,343,2,-1,0,no
39,blue-collar,single,primary,no,6,yes,no,cellular,19,nov,286,2,-1,0,no
36,management,divorced,tertiary,no,1057,no,no,cellular,5,feb,383,2,-1,0,no
72,retired,married,secondary,no,4130,no,no,cellular,12,nov,427,1,-1,0,no
34,blue-collar,single,secondary,no,79,no,yes,cellular,20,nov,104,1,-1,0,no
49,unemployed,married,primary,no,-384,yes,no,unknown,27,may,25,1,-1,0,no
53,technician,married,secondary,no,0,no,no,cellular,22,aug,77,9,-1,0,no
44,management,married,secondary,yes,0,yes,no,cellular,11,jul,96,2,-1,0,no
38,self-employed,married,tertiary,no,846,no,no,cellular,2,jun,253,1,-1,0,no
59,management,married,tertiary,no,1585,no,no,telephone,28,aug,91,5,-1,0,no
35,management,divorced,tertiary,no,434,yes,no,cellular,11,may,277,1,271,2,no
44,entrepreneur,married,secondary,no,6649,yes,no,cellular,19,nov,354,2,-1,0,no
42,blue-collar,married,secondary,no,352,yes,no,cellular,11,may,79,3,-1,0,no
51,management,divorced,tertiary,no,0,no,no,cellular,13,aug,60,2,-1,0,no
23,student,married,tertiary,yes,-230,yes,no,cellular,18,may,259,2,-1,0,no
31,management,married,secondary,no,466,yes,no,cellular,14,may,164,1,-1,0,no
47,technician,married,secondary,no,-75,yes,no,cellular,4,feb,57,1,247,1,no
51,admin.,single,tertiary,no,16,yes,no,cellular,30,jan,158,1,-1,0,no
30,blue-collar,single,secondary,no,445,yes,no,cellular,16,apr,218,1,330,2,no
40,management,married,secondary,no,643,yes,no,cellular,17,apr,74,2,256,1,no
35,technician,single,secondary,no,450,yes,no,cellular,13,may,63,1,-1,0,no
27,blue-collar,single,primary,no,1128,yes,no,unknown,30,jun,88,4,-1,0,no
31,blue-collar,married,primary,no,352,yes,no,unknown,19,may,97,9,-1,0,no
57,management,married,primary,no,1052,yes,no,unknown,13,may,227,4,-1,0,no
52,management,married,tertiary,no,1944,yes,no,cellular,15,apr,238,3,323,2,no
32,blue-collar,single,secondary,no,-255,no,yes,unknown,2,jul,957,3,-1,0,no
57,technician,married,secondary,no,839,no,yes,unknown,5,may,225,1,-1,0,no
42,management,married,secondary,no,-105,yes,no,cellular,28,aug,60,2,-1,0,no
58,blue-collar,married,primary,no,309,no,no,cellular,19,aug,156,2,-1,0,no
33,entrepreneur,married,tertiary,no,595,no,no,cellular,7,aug,22,2,-1,0,no
59,retired,married,secondary,no,163,no,no,cellular,24,jul,464,1,-1,0,no
41,technician,married,secondary,no,77,yes,no,cellular,7,may,56,1,-1,0,no
31,management,single,tertiary,no,112,yes,no,cellular,2,feb,159,2,271,1,no
40,self-employed,married,tertiary,no,13669,no,no,cellular,15,oct,138,1,136,8,no
50,management,married,secondary,yes,421,no,no,cellular,20,nov,22,5,-1,0,no
31,technician,single,tertiary,no,454,no,no,cellular,4,feb,73,3,-1,0,no
41,blue-collar,divorced,primary,no,2195,yes,no,unknown,3,jun,211,5,-1,0,no
53,admin.,single,secondary,no,1178,yes,no,unknown,15,may,295,2,-1,0,no
56,technician,married,secondary,no,4063,no,yes,telephone,28,jul,31,4,-1,0,no
47,technician,married,secondary,no,57,no,no,cellular,5,may,253,1,342,1,no
40,management,married,tertiary,no,-117,yes,no,cellular,17,jul,770,2,-1,0,no
28,blue-collar,married,secondary,no,1020,yes,no,unknown,28,may,251,1,-1,0,no
31,admin.,married,secondary,no,88,yes,yes,cellular,8,aug,189,2,-1,0,no
50,blue-collar,married,primary,no,12519,yes,no,cellular,17,apr,146,2,147,4,no
31,management,single,secondary,no,36,no,no,cellular,27,aug,105,2,-1,0,no
31,technician,single,tertiary,no,-162,yes,no,cellular,18,may,380,1,-1,0,no
40,management,married,tertiary,no,10786,no,no,unknown,20,jun,111,3,-1,0,no
